ID,Path,Symbol,Root cause,Reproduction,Fix,Regression,Gate,SHA,Status
P0-DB-DEFAULT,src/nexus_ai_agent/storage/db.py,get_session/create_all_tables,Hardcoded defaults bypass Settings.db_path,red-main: 5 failed/3 passed,Existing settings source at both default branches,8 real SQLite regressions + 2 killed mutants,targeted 8; subsystem 84; final CI pending,244a01ce8b2d751e2f35699c82a4c758321691f8,FIXED_TESTED
P0-DRY-LOCAL,src/nexus_ai_agent/maintenance/housekeeping.py,run_housekeeping/_clean_temp_dir,dry_run not passed to local cleaner,remaining-p0.json; deletes synthetic files,Not edited; PR90 owner active,Owner PR90 tests not independently rerun,Ownership + full path closure required,2351f099e2f789b80de05c6b382554b5cdcec0f3,CONFIRMED_OPEN
P0-DRY-CLI,src/nexus_ai_agent/cli.py;src/nexus_ai_agent/config/settings.py,housekeeping/get_settings,Settings bootstrap creates directories before dry-run,remaining-public-cli.txt: empty cwd gains data/cache/models,Not edited; CLI owner active,Required public CLI no mutation matrix,CLI ownership handoff,2351f099e2f789b80de05c6b382554b5cdcec0f3,CONFIRMED_OPEN
P0-DB-PROTECT,src/nexus_ai_agent/maintenance/housekeeping.py;src/nexus_ai_agent/api/app.py,_clean_temp_dir/get_creative_registry,Durable creative DB is inside unprotected cleanup root,DB/WAL/SHM/journal names deleted in fresh probe,No canonical protected path policy yet,Canonical paths/symlink/sidecar/non-dry eligible-only required,Housekeeping owner handoff,2351f099e2f789b80de05c6b382554b5cdcec0f3,CONFIRMED_OPEN
P0-DB-NORMALIZE,src/nexus_ai_agent/maintenance/backup.py;src/nexus_ai_agent/storage/db.py,create_backup/_dump_sqlite/_get_engine,Runtime expands tilde; backup does not,remaining-p0.json: runtime opens temp HOME DB; backup not found,Not edited; backup owner active,Normalize runtime/migration/backup consistently,Ownership + all consumers contract,2351f099e2f789b80de05c6b382554b5cdcec0f3,CONFIRMED_OPEN
P1-FILES,src/nexus_ai_agent/tools/files.py,file sandbox,Prior symlink/traversal finding; fresh matrix not run,Historical audit only; no fresh closure claimed,None,Pending,BLOCKED verification/ownership as noted,2351f099e2f789b80de05c6b382554b5cdcec0f3,BLOCKED
P1-SHELL,src/nexus_ai_agent/tools/system_shell.py,shell tool,Approval versus target authorization still requires fresh reproduction,Historical audit only; no fresh closure claimed,None,Pending,BLOCKED verification/ownership as noted,2351f099e2f789b80de05c6b382554b5cdcec0f3,BLOCKED
P1-EXECUTOR,src/nexus_ai_agent/agents/executor_agent.py,executor graph,Full compiled graph and handler propagation not verified,Historical audit only; no fresh closure claimed,None,Pending,BLOCKED verification/ownership as noted,2351f099e2f789b80de05c6b382554b5cdcec0f3,BLOCKED
P1-LLM,src/nexus_ai_agent/llm/fallback_provider.py,FallbackProvider,Generated 429 text versus transport error policy not rerun,Historical audit only; no fresh closure claimed,None,Pending,BLOCKED verification/ownership as noted,2351f099e2f789b80de05c6b382554b5cdcec0f3,BLOCKED
P1-REGISTRY,src/nexus_ai_agent/tools/registry.py,ToolRegistry,Instance isolation matrix not rerun,Historical audit only; no fresh closure claimed,None,Pending,BLOCKED verification/ownership as noted,2351f099e2f789b80de05c6b382554b5cdcec0f3,BLOCKED
P1-QUEUE,src/nexus_ai_agent/adapters/in_process_job_queue.py,InProcessJobQueue,Foreign job-lifecycle leases; bounded concurrency/cancellation/lease/duplicate matrix pending,Historical audit only; no fresh closure claimed,None,Pending,BLOCKED verification/ownership as noted,2351f099e2f789b80de05c6b382554b5cdcec0f3,BLOCKED
P1-HMAC,src/nexus_ai_agent/api/app.py,HMAC authentication,Foreign API lease; bounded-body matrix pending,Historical audit only; no fresh closure claimed,None,Pending,BLOCKED verification/ownership as noted,2351f099e2f789b80de05c6b382554b5cdcec0f3,BLOCKED
P1-PACKS,src/nexus_ai_agent/creative/packs/registry.py,discover/load/activate,Foreign pack-security lease; no automatic PR86/88 acceptance,Historical audit only; no fresh closure claimed,None,Pending,BLOCKED verification/ownership as noted,2351f099e2f789b80de05c6b382554b5cdcec0f3,BLOCKED
GUARD-ASYNC,tests/architecture/,async/blocking gates,Foreign tests lease; no full architecture mutation proof,Historical audit only; no fresh closure claimed,None,Pending,BLOCKED verification/ownership as noted,2351f099e2f789b80de05c6b382554b5cdcec0f3,BLOCKED
FAKE-EMBED,src/nexus_ai_agent/llm/fake_llm.py,FakeLLMProvider.embed,Process-stable contract needs fresh multi-process proof,Historical audit only; no fresh closure claimed,None,Pending,BLOCKED verification/ownership as noted,2351f099e2f789b80de05c6b382554b5cdcec0f3,BLOCKED
TASK122-CI,FORENSIC_REPORT_task122.md on PR89,exact head CI,New continuation PR exists,pr89.json: 24 successful check entries at current head,No merge or implementation change,Behavioral claims not independently rerun,Anonymous safety + semantic closure remain,2f0df4f11eada4307d6170cab9cffff027a5b1a3,RECLASSIFIED
